food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Canned Oranges,100g,62 cal,260 kJ,1 can (113 g),70 cal,294 kJ,1 oz. (28 g),17 cal,73 kJ
Canned Peaches,100g,54 cal,227 kJ,1/2 peach (98 g),53 cal,222 kJ,1 oz. (28 g),15 cal,64 kJ
Canned Pears,100g,35 cal,147 kJ,1 cup (284 g),99 cal,417 kJ,1 oz. (28 g),10 cal,41 kJ
Canned Pineapple,100g,60 cal,252 kJ,1 cup (232 g),139 cal,585 kJ,1 oz. (28 g),17 cal,71 kJ
Canned Plums,100g,58 cal,244 kJ,1 plum (46 g),27 cal,112 kJ,1 oz. (28 g),16 cal,68 kJ
Canned Raspberries,100g,91 cal,382 kJ,1 cup (256 g),233 cal,978 kJ,1 oz. (28 g),25 cal,107 kJ
Canned Sliced Pineapple,100g,53 cal,223 kJ,1 cup (225 g),119 cal,502 kJ,1 oz. (28 g),15 cal,62 kJ
Canned Sour Cherries,100g,114 cal,479 kJ,1 cup (261 g),298 cal,1250 kJ,1 oz. (28 g),32 cal,134 kJ
Canned Strawberries,100g,92 cal,386 kJ,1 cup (254 g),234 cal,980 kJ,1 oz. (28 g),26 cal,108 kJ
Canned Tangerines,100g,61 cal,256 kJ,1 cup (252 g),154 cal,645 kJ,1 oz. (28 g),17 cal,72 kJ
Dried Fruit,100g,243 cal,1021 kJ,2 oz. (56 g),136 cal,572 kJ,1 oz. (28 g),68 cal,286 kJ
Amaranth,100g,371 cal,1558 kJ,1 cup (193 g),716 cal,3007 kJ,1 oz. (28 g),104 cal,436 kJ
Barley,100g,354 cal,1487 kJ,1 cup (157 g),556 cal,2335 kJ,1 oz. (28 g),99 cal,416 kJ
Barley Groats,100g,100 cal,420 kJ,1 cup (31 g),31 cal,130 kJ,1 oz. (28 g),28 cal,118 kJ
Brown Rice,100g,388 cal,1630 kJ,1 cup (195 g),757 cal,3179 kJ,1 oz. (28 g),109 cal,456 kJ
Buckwheat,100g,343 cal,1441 kJ,1 cup (170 g),583 cal,2450 kJ,1 oz. (28 g),96 cal,403 kJ
Buckwheat Groats,100g,346 cal,1453 kJ,1 cup (164 g),567 cal,2383 kJ,1 oz. (28 g),97 cal,407 kJ
Corn Waffles,100g,274 cal,1151 kJ,1 waffle (40 g),110 cal,460 kJ,1 oz. (28 g),77 cal,322 kJ
Cornmeal,100g,362 cal,1520 kJ,1 cup (122 g),442 cal,1854 kJ,1 oz. (28 g),101 cal,426 kJ
Cornstarch,100g,381 cal,1600 kJ,1 cup (128 g),488 cal,2048 kJ,1 oz. (28 g),107 cal,448 kJ
Couscous,100g,376 cal,1579 kJ,1 cup (173 g),650 cal,2732 kJ,1 oz. (28 g),105 cal,442 kJ
Cracker,100g,502 cal,2108 kJ,1 cracker (7 g),35 cal,148 kJ,1 oz. (28 g),141 cal,590 kJ
Durum Wheat Semolina,100g,397 cal,1667 kJ,1 tbsp (30 g),119 cal,500 kJ,1 oz. (28 g),111 cal,467 kJ
Flaxseed,100g,534 cal,2243 kJ,1 cup (168 g),897 cal,3768 kJ,1 oz. (28 g),150 cal,628 kJ
Freekeh,100g,520 cal,2184 kJ,1 cup (160 g),832 cal,3494 kJ,1 oz. (28 g),146 cal,612 kJ
Gluten,100g,370 cal,1554 kJ,1 oz. (28 g),104 cal,435 kJ,1 oz. (28 g),104 cal,435 kJ
Grissini,100g,408 cal,1714 kJ,1 grissini (5 g),20 cal,86 kJ,1 oz. (28 g),114 cal,480 kJ
Kamut,100g,337 cal,1415 kJ,1 cup (186 g),627 cal,2632 kJ,1 oz. (28 g),94 cal,396 kJ
Millet,100g,378 cal,1588 kJ,1 cup (128 g),484 cal,2033 kJ,1 oz. (28 g),106 cal,445 kJ
Millet Flour,100g,372 cal,1562 kJ,1 cup (140 g),521 cal,2187 kJ,1 oz. (28 g),104 cal,437 kJ
Millet Gruel,100g,46 cal,193 kJ,1 cup (174 g),80 cal,336 kJ,1 oz. (28 g),13 cal,54 kJ
Oat Bran,100g,246 cal,1033 kJ,1 cup  (94 g),231 cal,971 kJ,1 oz. (28 g),69 cal,289 kJ
Pearl Barley,100g,352 cal,1478 kJ,1 cup (157 g),553 cal,2320 kJ,1 oz. (28 g),99 cal,414 kJ
Polenta,100g,366 cal,1537 kJ,1 cup (150 g),549 cal,2306 kJ,1 oz. (28 g),102 cal,430 kJ
Prawn Crackers,100g,527 cal,2213 kJ,1 cracker (3 g),16 cal,66 kJ,1 oz. (28 g),148 cal,620 kJ
Pretzel Sticks,100g,380 cal,1596 kJ,20 sticks (12 g),46 cal,192 kJ,1 oz. (28 g),106 cal,447 kJ
Quinoa,100g,368 cal,1546 kJ,1 cup (170 g),626 cal,2628 kJ,1 oz. (28 g),103 cal,433 kJ
Rusk,100g,410 cal,1722 kJ,1 rusk (10 g),41 cal,172 kJ,1 oz. (28 g),115 cal,482 kJ
Rye Bran,100g,281 cal,1180 kJ,1 cup (150 g),422 cal,1770 kJ,1 oz. (28 g),79 cal,330 kJ
Sago,100g,354 cal,1487 kJ,1 oz. (28 g),99 cal,416 kJ,1 oz. (28 g),99 cal,416 kJ
Savoury Biscuits,100g,347 cal,1457 kJ,40 grams (40 g),139 cal,583 kJ,1 oz. (28 g),97 cal,408 kJ
Shortbread,100g,502 cal,2108 kJ,1 cookie (19 g),95 cal,401 kJ,1 oz. (28 g),141 cal,590 kJ
Spelt,100g,338 cal,1420 kJ,1 cup (174 g),588 cal,2471 kJ,1 oz. (28 g),95 cal,398 kJ
Spelt Bran,100g,177 cal,743 kJ,1 cup (160 g),283 cal,1189 kJ,1 oz. (28 g),50 cal,208 kJ
Spelt Semolina,100g,360 cal,1512 kJ,1 cup (167 g),601 cal,2525 kJ,1 oz. (28 g),101 cal,423 kJ
Sunflower Seeds,100g,584 cal,2453 kJ,1 cup (140 g),818 cal,3434 kJ,1 oz. (28 g),164 cal,687 kJ
Tortilla,100g,237 cal,995 kJ,1 tortilla (197 g),467 cal,1960 kJ,1 oz. (28 g),66 cal,279 kJ
Tortilla Chips,100g,499 cal,2096 kJ,20 chips (32 g),160 cal,671 kJ,1 oz. (28 g),140 cal,587 kJ
Wheat Bran,100g,216 cal,907 kJ,1 cup (58 g),125 cal,526 kJ,1 oz. (28 g),60 cal,254 kJ
Wheat Germ,100g,382 cal,1604 kJ,1 cup (113 g),432 cal,1813 kJ,1 oz. (28 g),107 cal,449 kJ
Wheat Gluten,100g,325 cal,1365 kJ,1 tsp (3 g),10 cal,41 kJ,1 oz. (28 g),91 cal,382 kJ
Wheat Semolina,100g,360 cal,1512 kJ,1 cup (167 g),601 cal,2525 kJ,1 oz. (28 g),101 cal,423 kJ
Wheat Starch,100g,351 cal,1474 kJ,1 cup (110 g),386 cal,1621 kJ,1 oz. (28 g),98 cal,413 kJ
Whole Grain Wheat,100g,339 cal,1424 kJ,1 cup (120 g),407 cal,1709 kJ,1 oz. (28 g),95 cal,399 kJ
Wholegrain Oat,100g,375 cal,1575 kJ,1 cup (80 g),300 cal,1260 kJ,1 oz. (28 g),105 cal,441 kJ
American Cheese,100g,148 cal,622 kJ,1 slice (21 g),31 cal,131 kJ,1 oz. (28 g),41 cal,174 kJ
Applewood,100g,410 cal,1722 kJ,1 slice (20 g),82 cal,344 kJ,1 oz. (28 g),115 cal,482 kJ
Asiago Cheese,100g,392 cal,1646 kJ,1 oz. (28.35 g),110 cal,461 kJ,1 oz. (28 g),110 cal,461 kJ
Babybel,100g,333 cal,1399 kJ,1 piece (21 g),70 cal,294 kJ,1 oz. (28 g),93 cal,392 kJ
Blue Cheese,100g,353 cal,1483 kJ,1 oz. (28.35 g),99 cal,415 kJ,1 oz. (28 g),99 cal,415 kJ
Brie,100g,334 cal,1403 kJ,1 slice (30 g),100 cal,421 kJ,1 oz. (28 g),94 cal,393 kJ
Camembert,100g,300 cal,1260 kJ,1 slice (30 g),90 cal,378 kJ,1 oz. (28 g),84 cal,353 kJ
Cheddar,100g,403 cal,1693 kJ,1 slice (22 g),89 cal,372 kJ,1 oz. (28 g),113 cal,474 kJ
Cheese Fondue,100g,228 cal,958 kJ,1 packet (400 g),912 cal,3832 kJ,1 oz. (28 g),64 cal,268 kJ
Cheese Spread,100g,290 cal,1218 kJ,1 tbsp (15 g),44 cal,183 kJ,1 oz. (28 g),81 cal,341 kJ
Cheese Whiz,100g,276 cal,1159 kJ,1 tbsp (33 g),91 cal,382 kJ,1 oz. (28 g),77 cal,325 kJ
Chester,100g,387 cal,1625 kJ,1 oz. (28.35 g),108 cal,455 kJ,1 oz. (28 g),108 cal,455 kJ
Colby Cheese,100g,394 cal,1655 kJ,1 cup (132 g),520 cal,2185 kJ,1 oz. (28 g),110 cal,463 kJ
Colby-Jack Cheese,100g,394 cal,1655 kJ,1 cup (132 g),520 cal,2185 kJ,1 oz. (28 g),110 cal,463 kJ
Cottage Cheese,100g,98 cal,412 kJ,1 cup (210 g),206 cal,865 kJ,1 oz. (28 g),27 cal,115 kJ
Dutch Cheese,100g,393 cal,1651 kJ,1 oz. (28.35 g),110 cal,462 kJ,1 oz. (28 g),110 cal,462 kJ
Edam Cheese,100g,357 cal,1499 kJ,1 package (198 g),707 cal,2968 kJ,1 oz. (28 g),100 cal,420 kJ
Emmentaler,100g,357 cal,1499 kJ,1 slice (25 g),89 cal,375 kJ,1 oz. (28 g),100 cal,420 kJ
Feta,100g,264 cal,1109 kJ,1 oz. (28.35 g),74 cal,311 kJ,1 oz. (28 g),74 cal,311 kJ
Fontina,100g,389 cal,1634 kJ,1 slice (30 g),117 cal,490 kJ,1 oz. (28 g),109 cal,458 kJ
Fresh Mozzarella,100g,280 cal,1176 kJ,1 slice (28 g),78 cal,329 kJ,1 oz. (28 g),78 cal,329 kJ
Gjetost,100g,466 cal,1957 kJ,1 package (227 g),1058 cal,4442 kJ,1 oz. (28 g),130 cal,548 kJ
Goat Cheese,100g,364 cal,1529 kJ,1 oz. (28.35 g),102 cal,428 kJ,1 oz. (28 g),102 cal,428 kJ
Gorgonzola,100g,350 cal,1470 kJ,1 oz. (28.35 g),98 cal,412 kJ,1 oz. (28 g),98 cal,412 kJ
Gouda,100g,356 cal,1495 kJ,1 package (198 g),705 cal,2960 kJ,1 oz. (28 g),100 cal,419 kJ
Grated Parmesan,100g,431 cal,1810 kJ,1 tsp (5 g),22 cal,91 kJ,1 oz. (28 g),121 cal,507 kJ
Grilled Cheese,100g,350 cal,1470 kJ,1 piece (83 g),291 cal,1220 kJ,1 oz. (28 g),98 cal,412 kJ
Gruyere,100g,413 cal,1735 kJ,1 slice (25 g),103 cal,434 kJ,1 oz. (28 g),116 cal,486 kJ
Halloumi,100g,321 cal,1348 kJ,1 oz. (28.35 g),90 cal,377 kJ,1 oz. (28 g),90 cal,377 kJ
Havarti,100g,371 cal,1558 kJ,1 slice (28 g),104 cal,436 kJ,1 oz. (28 g),104 cal,436 kJ
Italian Cheese,100g,397 cal,1667 kJ,1 serving (30 g),119 cal,500 kJ,1 oz. (28 g),111 cal,467 kJ
Jarlsberg,100g,352 cal,1478 kJ,1 oz. (28.35 g),99 cal,414 kJ,1 oz. (28 g),99 cal,414 kJ
Maasdam Cheese,100g,344 cal,1445 kJ,1 slice (18 g),62 cal,260 kJ,1 oz. (28 g),96 cal,405 kJ
Manchego Cheese,100g,320 cal,1344 kJ,1 serving (28 g),90 cal,376 kJ,1 oz. (28 g),90 cal,376 kJ
Monterey,100g,373 cal,1567 kJ,1 cup (132 g),492 cal,2068 kJ,1 oz. (28 g),104 cal,439 kJ
Monterey Jack Cheese,100g,373 cal,1567 kJ,1 cup (132 g),492 cal,2068 kJ,1 oz. (28 g),104 cal,439 kJ
Mozzarella,100g,280 cal,1176 kJ,1 slice (28 g),78 cal,329 kJ,1 oz. (28 g),78 cal,329 kJ
Muenster Cheese,100g,368 cal,1546 kJ,1 slice (28 g),103 cal,433 kJ,1 oz. (28 g),103 cal,433 kJ
Neufchatel,100g,253 cal,1063 kJ,1 package (85 g),215 cal,904 kJ,1 oz. (28 g),71 cal,298 kJ
Parmesan,100g,431 cal,1810 kJ,1 tsp (5 g),22 cal,91 kJ,1 oz. (28 g),121 cal,507 kJ
Pecorino,100g,387 cal,1625 kJ,1 tbsp (5 g),19 cal,81 kJ,1 oz. (28 g),108 cal,455 kJ
Provolone,100g,351 cal,1474 kJ,1 slice (28 g),98 cal,413 kJ,1 oz. (28 g),98 cal,413 kJ
Raclette Cheese,100g,357 cal,1499 kJ,1 slice (25 g),89 cal,375 kJ,1 oz. (28 g),100 cal,420 kJ
Ricotta,100g,174 cal,731 kJ,1 cup (246 g),428 cal,1798 kJ,1 oz. (28 g),49 cal,205 kJ
Romano,100g,387 cal,1625 kJ,5 package (142 g),550 cal,2308 kJ,1 oz. (28 g),108 cal,455 kJ
Roquefort,100g,369 cal,1550 kJ,1 oz. (28.35 g),103 cal,434 kJ,1 oz. (28 g),103 cal,434 kJ
Sheep Cheese,100g,364 cal,1529 kJ,1 oz. (28.35 g),102 cal,428 kJ,1 oz. (28 g),102 cal,428 kJ
Soft Cheese,100g,268 cal,1126 kJ,1 oz. (28.35 g),75 cal,315 kJ,1 oz. (28 g),75 cal,315 kJ
Stilton Cheese,100g,393 cal,1651 kJ,1 oz. (28.35 g),110 cal,462 kJ,1 oz. (28 g),110 cal,462 kJ
String Cheese,100g,250 cal,1050 kJ,1 stick (28 g),70 cal,294 kJ,1 oz. (28 g),70 cal,294 kJ
Swiss Cheese,100g,380 cal,1596 kJ,1 slice (25 g),95 cal,399 kJ,1 oz. (28 g),106 cal,447 kJ
White Cheddar,100g,403 cal,1693 kJ,1 cup (132 g),532 cal,2235 kJ,1 oz. (28 g),113 cal,474 kJ
Wisconsin Cheese,100g,389 cal,1634 kJ,1 oz. (28.35 g),109 cal,458 kJ,1 oz. (28 g),109 cal,458 kJ
Baked Ham,100g,343 cal,1441 kJ,1 slice (21 g),72 cal,303 kJ,1 oz. (28 g),96 cal,403 kJ
Beef Salami,100g,375 cal,1575 kJ,1 slice (10 g),38 cal,158 kJ,1 oz. (28 g),105 cal,441 kJ
Boiled Ham,100g,126 cal,529 kJ,1 slice (21 g),26 cal,111 kJ,1 oz. (28 g),35 cal,148 kJ
Bologna,100g,247 cal,1037 kJ,1 slice (23 g),57 cal,239 kJ,1 oz. (28 g),69 cal,290 kJ
Bresaola,100g,178 cal,748 kJ,1 slice (9 g),16 cal,67 kJ,1 oz. (28 g),50 cal,209 kJ
Capicola,100g,110 cal,462 kJ,1 slice (21 g),23 cal,97 kJ,1 oz. (28 g),31 cal,129 kJ
Chicken Breast Fillet,100g,79 cal,332 kJ,1 slice (21 g),17 cal,70 kJ,1 oz. (28 g),22 cal,93 kJ
Chopped Ham,100g,180 cal,756 kJ,1 slice (28 g),50 cal,212 kJ,1 oz. (28 g),50 cal,212 kJ
Chorizo,100g,455 cal,1911 kJ,1 oz. (28.35 g),127 cal,535 kJ,1 oz. (28 g),127 cal,535 kJ
Corned Beef,100g,251 cal,1054 kJ,1 slice (21 g),53 cal,221 kJ,1 oz. (28 g),70 cal,295 kJ
Dutch Loaf,100g,268 cal,1126 kJ,1 slice (21 g),56 cal,236 kJ,1 oz. (28 g),75 cal,315 kJ
Ham,100g,145 cal,609 kJ,1 slice (23 g),33 cal,140 kJ,1 oz. (28 g),41 cal,171 kJ
Ham Sausage,100g,164 cal,689 kJ,1 slice (23 g),38 cal,158 kJ,1 oz. (28 g),46 cal,193 kJ
Head Cheese,100g,157 cal,659 kJ,1 slice (28 g),44 cal,185 kJ,1 oz. (28 g),44 cal,185 kJ
Hickory Ham,100g,188 cal,790 kJ,1 slice (21 g),39 cal,166 kJ,1 oz. (28 g),53 cal,221 kJ
Honey Ham,100g,122 cal,512 kJ,1 slice (22 g),27 cal,113 kJ,1 oz. (28 g),34 cal,143 kJ
Liverwurst,100g,326 cal,1369 kJ,1 slice (18 g),59 cal,246 kJ,1 oz. (28 g),91 cal,383 kJ
Olive Loaf,100g,232 cal,974 kJ,1 slice (23 g),53 cal,224 kJ,1 oz. (28 g),65 cal,273 kJ
Oven-Roasted Turkey Breast,100g,104 cal,437 kJ,1 slice (21 g),22 cal,92 kJ,1 oz. (28 g),29 cal,122 kJ
Parma Ham,100g,345 cal,1449 kJ,1 slice (11 g),38 cal,159 kJ,1 oz. (28 g),97 cal,406 kJ
Pastrami,100g,133 cal,559 kJ,1 slice (29 g),39 cal,162 kJ,1 oz. (28 g),37 cal,157 kJ
Pepperoni,100g,494 cal,2075 kJ,1 slice (2 g),10 cal,42 kJ,1 oz. (28 g),138 cal,581 kJ
Pimento Loaf,100g,265 cal,1113 kJ,1 slice (28 g),74 cal,312 kJ,1 oz. (28 g),74 cal,312 kJ
Pork Roast,100g,247 cal,1037 kJ,1 slice (21 g),52 cal,218 kJ,1 oz. (28 g),69 cal,290 kJ
Prosciutto,100g,195 cal,819 kJ,1 slice (9 g),18 cal,74 kJ,1 oz. (28 g),55 cal,229 kJ
Roast Beef,100g,267 cal,1121 kJ,1 slice (21 g),56 cal,235 kJ,1 oz. (28 g),75 cal,314 kJ
Salami,100g,336 cal,1411 kJ,1 slice (12.3 g),40 cal,169 kJ,1 oz. (28 g),94 cal,395 kJ
Serrano Ham,100g,300 cal,1260 kJ,1 slice (15 g),45 cal,189 kJ,1 oz. (28 g),84 cal,353 kJ
Smoked Ham,100g,107 cal,449 kJ,1 slice (21 g),22 cal,94 kJ,1 oz. (28 g),30 cal,126 kJ
Smoked Turkey Breast,100g,104 cal,437 kJ,1 slice (21 g),22 cal,92 kJ,1 oz. (28 g),29 cal,122 kJ
Summer Sausage,100g,298 cal,1252 kJ,1 slice (21 g),63 cal,263 kJ,1 oz. (28 g),83 cal,351 kJ
Tongue,100g,284 cal,1193 kJ,1 slice (28 g),80 cal,334 kJ,1 oz. (28 g),80 cal,334 kJ
Turkey Breast,100g,104 cal,437 kJ,1 slice (21 g),22 cal,92 kJ,1 oz. (28 g),29 cal,122 kJ
Turkey Ham,100g,126 cal,529 kJ,1 slice (21 g),26 cal,111 kJ,1 oz. (28 g),35 cal,148 kJ
Turkey Salami,100g,152 cal,638 kJ,1 slice (23 g),35 cal,147 kJ,1 oz. (28 g),43 cal,179 kJ
Chive Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cottage Cheese,100g,98 cal,412 kJ,1 cup (226 g),221 cal,931 kJ,1 oz. (28 g),27 cal,115 kJ
Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Cream Cheese with Herbs,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Feta Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Garlic Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Goat Cheese,100g,364 cal,1529 kJ,1 tsp (10 g),36 cal,153 kJ,1 oz. (28 g),102 cal,428 kJ
Horseradish,100g,48 cal,202 kJ,1 tbsp (15 g),7 cal,30 kJ,1 oz. (28 g),13 cal,57 kJ
Mascarpone,100g,450 cal,1890 kJ,1 tbsp (14.5 g),63 cal,265 kJ,1 oz. (28 g),126 cal,529 kJ
Obatzda,100g,303 cal,1273 kJ,1 tbsp (15 g),45 cal,191 kJ,1 oz. (28 g),85 cal,356 kJ
Olive Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Pesto Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Philadelphia Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Pineapple Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Salmon Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Vegetable Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Walnut Cream Cheese,100g,342 cal,1436 kJ,1 tbsp (14.5 g),48 cal,201 kJ,1 oz. (28 g),96 cal,402 kJ
Baby Back Ribs,100g,259 cal,1088 kJ,1 serving (139 g),360 cal,1512 kJ,1 oz. (28 g),73 cal,305 kJ
Bacon and Eggs,100g,252 cal,1058 kJ,1 serving (214 g),539 cal,2264 kJ,1 oz. (28 g),71 cal,296 kJ
Baked Beans,100g,94 cal,395 kJ,1 cup (260 g),244 cal,1027 kJ,1 oz. (28 g),26 cal,111 kJ
Baked Chicken,100g,164 cal,689 kJ,1 breast (172 g),282 cal,1185 kJ,1 oz. (28 g),46 cal,193 kJ
BBQ Ribs,100g,255 cal,1071 kJ,1 rib (141 g),360 cal,1510 kJ,1 oz. (28 g),71 cal,300 kJ
Beef Stew,100g,95 cal,399 kJ,1 cup (196 g),186 cal,782 kJ,1 oz. (28 g),27 cal,112 kJ
Biryani,100g,176 cal,739 kJ,1 cup (275 g),484 cal,2032 kJ,1 oz. (28 g),49 cal,207 kJ
Black Pudding,100g,253 cal,1063 kJ,1 pudding (40 g),101 cal,425 kJ,1 oz. (28 g),71 cal,298 kJ
Black Rice,100g,323 cal,1357 kJ,1/2 cup (100 g),323 cal,1357 kJ,1 oz. (28 g),90 cal,380 kJ
BLT,100g,247 cal,1037 kJ,1 item (240 g),593 cal,2489 kJ,1 oz. (28 g),69 cal,290 kJ
Brown Rice,100g,362 cal,1520 kJ,1 cup (185 g),670 cal,2812 kJ,1 oz. (28 g),101 cal,426 kJ
Burrito,100g,163 cal,685 kJ,1 burrito (200 g),326 cal,1370 kJ,1 oz. (28 g),46 cal,192 kJ
Butter Chicken,100g,140 cal,588 kJ,1 tray (350 g),490 cal,2058 kJ,1 oz. (28 g),39 cal,165 kJ
California Roll,100g,93 cal,391 kJ,1 roll (35 g),33 cal,137 kJ,1 oz. (28 g),26 cal,109 kJ
Chicken Caesar Salad,100g,127 cal,533 kJ,1 salad (309 g),392 cal,1647 kJ,1 oz. (28 g),36 cal,149 kJ
Chicken Fried Steak,100g,151 cal,634 kJ,1 steak  (280 g),423 cal,1775 kJ,1 oz. (28 g),42 cal,178 kJ
Chicken Marsala,100g,96 cal,403 kJ,1 serving (2301 g),2209 cal,9273 kJ,1 oz. (28 g),27 cal,113 kJ
Chicken Parmesan,100g,110 cal,462 kJ,1 piece (227 g),250 cal,1049 kJ,1 oz. (28 g),31 cal,129 kJ
Chicken Pot Pie,100g,223 cal,937 kJ,1 pie (302 g),673 cal,2830 kJ,1 oz. (28 g),62 cal,262 kJ
Chicken Tikka Masala,100g,81 cal,340 kJ,1 serving (241 g),195 cal,819 kJ,1 oz. (28 g),23 cal,95 kJ
Chili con Carne,100g,105 cal,441 kJ,1 cup (253 g),266 cal,1116 kJ,1 oz. (28 g),29 cal,123 kJ
Chimichanga,100g,232 cal,974 kJ,1 item (180 g),418 cal,1753 kJ,1 oz. (28 g),65 cal,273 kJ
Cobb Salad,100g,118 cal,496 kJ,1 serving (536 g),632 cal,2659 kJ,1 oz. (28 g),33 cal,139 kJ
Collard Greens,100g,28 cal,118 kJ,1 cup (45 g),13 cal,53 kJ,1 oz. (28 g),8 cal,33 kJ
Corn Dog,100g,250 cal,1050 kJ,1 item (175 g),438 cal,1838 kJ,1 oz. (28 g),70 cal,294 kJ
Corned Beef Hash,100g,164 cal,689 kJ,1 can (213 g),349 cal,1468 kJ,1 oz. (28 g),46 cal,193 kJ
Cottage Pie,100g,139 cal,584 kJ,1 pie (376 g),523 cal,2196 kJ,1 oz. (28 g),39 cal,164 kJ
Dal,100g,330 cal,1386 kJ,1/2 cup (92 g),304 cal,1275 kJ,1 oz. (28 g),92 cal,388 kJ
Deviled Eggs,100g,201 cal,844 kJ,1/2 egg (31 g),62 cal,262 kJ,1 oz. (28 g),56 cal,236 kJ
Dim Sum,100g,193 cal,811 kJ,1 piece (19 g),37 cal,154 kJ,1 oz. (28 g),54 cal,227 kJ
Dosa,100g,66 cal,277 kJ,1 serving (435 g),287 cal,1205 kJ,1 oz. (28 g),18 cal,78 kJ
Enchiladas,100g,168 cal,706 kJ,1 enchilada (192 g),323 cal,1356 kJ,1 oz. (28 g),47 cal,198 kJ
Fajita,100g,117 cal,491 kJ,1 serving (248 g),290 cal,1218 kJ,1 oz. (28 g),33 cal,137 kJ
Fish and Chips,100g,195 cal,819 kJ,1 serving (300 g),585 cal,2457 kJ,1 oz. (28 g),55 cal,229 kJ
Fried Rice,100g,186 cal,781 kJ,1 serving (356 g),662 cal,2780 kJ,1 oz. (28 g),52 cal,219 kJ
Fried Shrimp,100g,277 cal,1163 kJ,1 shrimp (27 g),75 cal,314 kJ,1 oz. (28 g),78 cal,326 kJ
Grilled Cheese Sandwich,100g,288 cal,1210 kJ,1 sandwich (136 g),392 cal,1646 kJ,1 oz. (28 g),81 cal,339 kJ
Ham and Cheese Sandwich,100g,241 cal,1012 kJ,1 sandwich (146 g),352 cal,1478 kJ,1 oz. (28 g),67 cal,283 kJ
Hummus,100g,177 cal,743 kJ,1 cup (246 g),435 cal,1828 kJ,1 oz. (28 g),50 cal,208 kJ
Jambalaya,100g,100 cal,420 kJ,1 cup (250 g),250 cal,1050 kJ,1 oz. (28 g),28 cal,118 kJ
Kebab,100g,215 cal,903 kJ,1 kebab (360 g),774 cal,3251 kJ,1 oz. (28 g),60 cal,253 kJ
Lasagne,100g,132 cal,554 kJ,1 serving (215 g),284 cal,1191 kJ,1 oz. (28 g),37 cal,155 kJ
Mac and Cheese,100g,370 cal,1554 kJ,1 serving (189 g),699 cal,2937 kJ,1 oz. (28 g),104 cal,435 kJ
Macaroni and Cheese,100g,370 cal,1554 kJ,1 serving (189 g),699 cal,2937 kJ,1 oz. (28 g),104 cal,435 kJ
Mashed Potatoes,100g,83 cal,349 kJ,1 cup (210 g),174 cal,733 kJ,1 oz. (28 g),23 cal,98 kJ
Meat Pie,100g,242 cal,1016 kJ,1 pie (120 g),290 cal,1219 kJ,1 oz. (28 g),68 cal,284 kJ
Meatloaf,100g,254 cal,1067 kJ,1 loaf (284 g),721 cal,3030 kJ,1 oz. (28 g),71 cal,299 kJ
Naan,100g,310 cal,1302 kJ,1 bread (84 g),260 cal,1094 kJ,1 oz. (28 g),87 cal,365 kJ
Orange Chicken,100g,259 cal,1088 kJ,1 serving (162 g),420 cal,1763 kJ,1 oz. (28 g),73 cal,305 kJ
Pad Thai,100g,150 cal,630 kJ,1 cup (250 g),375 cal,1575 kJ,1 oz. (28 g),42 cal,176 kJ
Paella,100g,156 cal,655 kJ,1/2 package (128 g),200 cal,838 kJ,1 oz. (28 g),44 cal,183 kJ
Paratha,100g,325 cal,1365 kJ,1 paratha (80 g),260 cal,1092 kJ,1 oz. (28 g),91 cal,382 kJ
Pea Soup,100g,75 cal,315 kJ,1 cup (253 g),190 cal,797 kJ,1 oz. (28 g),21 cal,88 kJ
Peanut Butter Sandwich,100g,408 cal,1714 kJ,1 sandwich (49 g),200 cal,840 kJ,1 oz. (28 g),114 cal,480 kJ
Peking Duck,100g,225 cal,945 kJ,1/2 duck (178 g),401 cal,1682 kJ,1 oz. (28 g),63 cal,265 kJ
